In which year did the Chernobyl nuclear disaster take place?	1986
What is the chemical symbol for tungsten?	W
Which planet in the Solar System has the shortest day?	Jupiter
How many bones are in the adult human body?	206
What is the capital city of Australia?	Canberra
In which year did the Berlin Wall fall?	1989
At sea level, what is the boiling point of water in degrees Fahrenheit?	212
Which chemical element has atomic number 79?	gold|Au
What is the largest moon of Saturn?	Titan
In which year was the first iPhone released?	2007
Which city hosted the 1964 Summer Olympics?	Tokyo
What is the deepest known point in the ocean called?	Challenger Deep
Who developed the general theory of relativity?	Einstein
What is the smallest prime number?	2
Which vitamin does human skin produce when exposed to sunlight?	vitamin D
What is the currency of Japan?	yen
In which year did the Second World War end?	1945
What is the hardest naturally occurring substance on Earth?	diamond
Which gas makes up roughly 78 percent of Earth's atmosphere?	nitrogen
What is the longest river in South America?	Amazon
How many strings does a standard violin have?	4|four
Which ocean lies between Africa and Australia?	Indian
